application_domain,task_type,question_format,QA_list,time_series_raw,question_text,time_series_norm,statistical_features,model_response
Healthcare,multiple_choice,multiple_choice,"""question"": ""Analyze this dataset [22.69, 26.53, 29.28, 30.12, 31.62, 34.56, 36.06, 34.59, 32.75, 33.03, 33.34, 32.06, 30.75, 31.72, 33.91, 34.12, 32.75, 31.84, 32.16, 31.0, 28.0, 25.81, 25.97, 26.22] for cyclic patterns. Which statement is correct? A) The data contains a strong repetitive cyclical pattern. B) The data contains a weak or non-existent cyclical pattern. C) The data has irregular cyclical behavior."", ""answer"": ""A) The data contains a strong repetitive cyclical pattern. Evidence of alternating phases of increase and decrease suggests the presence of well-defined cycles within the data.""","[22.69, 26.53, 29.28, 30.12, 31.62, 34.56, 36.06, 34.59, 32.75, 33.03, 33.34, 32.06, 30.75, 31.72, 33.91, 34.12, 32.75, 31.84, 32.16, 31.0, 28.0, 25.81, 25.97, 26.22]",Analyze this dataset <ts> for cyclic patterns. Which statement is correct? A) The data contains a strong repetitive cyclical pattern. B) The data contains a weak or non-existent cyclical pattern. C) The data has irregular cyclical behavior.,"[-2.458557, -1.304418, -0.477886, -0.225418, 0.225418, 1.109056, 1.559891, 1.118072, 0.565047, 0.649203, 0.742376, 0.357663, -0.036067, 0.255474, 0.913694, 0.976811, 0.565047, 0.29154, 0.387719, 0.039072, -0.862599, -1.520819, -1.47273, -1.397591]","{'mean': 30.87, 'std': 3.327155, 'min': 22.69, 'max': 36.06, 'median': 31.78}","B) The data contains a weak or non-existent cyclical pattern. The data does not show a clear repeating cycle, and the values fluctuate without a consistent pattern."
Healthcare,multiple_choice,multiple_choice,"""question"": ""Does the time series data [19.0, 5.0, -5.0, -11.5, -13.5, -11.5, -8.5, -2.0, 6.0, 16.5, 26.0, 34.5, 41.0, 47.5, 54.5, 59.0] exhibit seasonality? A) Strong seasonality B) Weak seasonality C) No seasonality"", ""answer"": ""C) No seasonality. The data reflects a cycle transitioning from negative phases to positive ones but doesn't indicate a recurrent pattern expected in seasonal data.""","[19.0, 5.0, -5.0, -11.5, -13.5, -11.5, -8.5, -2.0, 6.0, 16.5, 26.0, 34.5, 41.0, 47.5, 54.5, 59.0]",Does the time series data <ts> exhibit seasonality? A) Strong seasonality B) Weak seasonality C) No seasonality,"[0.121393, -0.45716, -0.870412, -1.139025, -1.221676, -1.139025, -1.01505, -0.746436, -0.415835, 0.01808, 0.410669, 0.761933, 1.030547, 1.299161, 1.588437, 1.7744]","{'mean': 16.0625, 'std': 24.198318, 'min': -13.5, 'max': 59.0, 'median': 11.25}","C) No seasonality. The data does not show a regular pattern that repeats at regular intervals, which is characteristic of seasonality."
Energy,multiple_choice,multiple_choice,"""question"": ""Where does a level shift occur in the series data: [7604.85, 7617.14, 7596.99, 7649.76, 7627.3, 7653.22, 7617.69, 7548.62, 7401.35, 7389.98, 7385.66, 7299.61, 7177.64, 6895.06, 6673.82, 6432.8, 6348.92, 6460.31, 6429.64, 6210.41, 5955.02, 6107.03, 6080.86, 6170.84] corresponding to a sustained change? 
 A) 7401.35 
 B) 6895.06 
 C) 5955.02 
 D) 6170.84"", ""answer"": ""B) 6895.06. There is a notable level shift at this point, as it represents a significant drop compared to previous data points, indicating a change in the underlying level of the series.""","[7604.85, 7617.14, 7596.99, 7649.76, 7627.3, 7653.22, 7617.69, 7548.62, 7401.35, 7389.98, 7385.66, 7299.61, 7177.64, 6895.06, 6673.82, 6432.8, 6348.92, 6460.31, 6429.64, 6210.41, 5955.02, 6107.03, 6080.86, 6170.84]","Where does a level shift occur in the series data: <ts> corresponding to a sustained change? 
 A) 7401.35 
 B) 6895.06 
 C) 5955.02 
 D) 6170.84","[1.026316, 1.046255, 1.013563, 1.099179, 1.062739, 1.104793, 1.047148, 0.935086, 0.696151, 0.677704, 0.670695, 0.531084, 0.333196, -0.125271, -0.484218, -0.875256, -1.011346, -0.830623, -0.880383, -1.236069, -1.650422, -1.403796, -1.446255, -1.300269]","{'mean': 6972.271667, 'std': 616.358409, 'min': 5955.02, 'max': 7653.22, 'median': 7238.625}","B) 6895.06. A level shift occurs when the data suddenly changes its level, which is observed at 6895.06."
Healthcare,multiple_choice,multiple_choice,"""question"": ""From the sequence [-63.5, -53.0, -41.5, -30.5, -20.5, -9.0, 2.5, 12.5, 23.0, 32.5, 42.5, 51.0, 59.5, 65.5, 71.0, 77.0, 79.5, 83.5, 86.0, 88.5, 90.5, 92.5, 96.0, 99.5], assess if cyclical patterns exist: A) Yes B) No C) Indeterminate"", ""answer"": ""B) No. The data shows a clear upward trend without indication of any rise and fall patterns repeated periodically, which would suggest cyclical behavior.""","[-63.5, -53.0, -41.5, -30.5, -20.5, -9.0, 2.5, 12.5, 23.0, 32.5, 42.5, 51.0, 59.5, 65.5, 71.0, 77.0, 79.5, 83.5, 86.0, 88.5, 90.5, 92.5, 96.0, 99.5]","From the sequence <ts>, assess if cyclical patterns exist: A) Yes B) No C) Indeterminate","[-2.001244, -1.796155, -1.571534, -1.356679, -1.161357, -0.936735, -0.712114, -0.516791, -0.311703, -0.126146, 0.069177, 0.235201, 0.401225, 0.518419, 0.625847, 0.74304, 0.791871, 0.87, 0.918831, 0.967661, 1.006726, 1.045791, 1.114154, 1.182516]","{'mean': 38.958333, 'std': 51.197314, 'min': -63.5, 'max': 99.5, 'median': 55.25}","B) No. The data does not show a clear cyclical pattern. The values increase and decrease without a repeating cycle, indicating no cyclical behavior."
Nature,multiple_choice,multiple_choice,"""question"": ""Is there any evidence of seasonality in the set of data points [-0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01]?"", ""answer"": ""b. No. Given all data points are constant at -0.01, there is no variation that would indicate seasonality.""","[-0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01]",Is there any evidence of seasonality in the set of data points <ts>?,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'mean': -0.01, 'std': 0.0, 'min': -0.01, 'max': -0.01, 'median': -0.01}","True. The data points consistently repeat the value -0.01, indicating a seasonal pattern."
Healthcare,multiple_choice,multiple_choice,"""question"": ""Where is the most likely structural break in the data points [-2814.82, -2810.84, -2807.67, -2802.48, -2801.77, -2813.47, -2815.08, -2806.72, -2804.72, -2799.13, -2801.85, -2811.63, -2804.1, -2798.85, -2800.98, -2809.11, -2818.68, -2816.29, -2808.21, -2797.1, -2804.22, -2825.7, -2829.34, -2824.77]? A) Between -2802.48 and -2801.77, B) Between -2816.29 and -2808.21, C) Between -2799.13 and -2801.85."", ""answer"": ""B) Between -2816.29 and -2808.21. This period shows a significant change from a local high point, indicating a shift in trend or structure, suggestive of a structural break.""","[-2814.82, -2810.84, -2807.67, -2802.48, -2801.77, -2813.47, -2815.08, -2806.72, -2804.72, -2799.13, -2801.85, -2811.63, -2804.1, -2798.85, -2800.98, -2809.11, -2818.68, -2816.29, -2808.21, -2797.1, -2804.22, -2825.7, -2829.34, -2824.77]","Where is the most likely structural break in the data points <ts>? A) Between -2802.48 and -2801.77, B) Between -2816.29 and -2808.21, C) Between -2799.13 and -2801.85.","[-0.615063, -0.15661, 0.208541, 0.806373, 0.888158, -0.459557, -0.645012, 0.317971, 0.548349, 1.192258, 0.878943, -0.247609, 0.619767, 1.224511, 0.979157, 0.042668, -1.059694, -0.784391, 0.146338, 1.426092, 0.605944, -1.868323, -2.287612, -1.761197]","{'mean': -2809.480417, 'std': 8.681359, 'min': -2829.34, 'max': -2797.1, 'median': -2807.94}","B) Between -2816.29 and -2808.21. This is the most likely structural break as the data shows a significant drop from -2816.29 to -2808.21, indicating a shift in the data's behavior or level."
Healthcare,multiple_choice,multiple_choice,"""question"": ""Which data points indicate a period of high volatility: [12.94, 14.28, 16.22, 17.47, 18.5, 19.88, 20.81, 20.66, 19.94, 19.22, 18.81, 18.59, 17.38, 16.31, 15.75, 15.16, 13.78, 12.0, 11.09, 10.31, 9.19, 8.03, 8.0, 8.53]"", ""answer"": ""The data from 18.5 to 8.53 shows high volatility. The values show abrupt falls particularly from 20.81 to 8.0, indicating high volatility characterized by frequent ups and downs in the magnitude of the data.""","[12.94, 14.28, 16.22, 17.47, 18.5, 19.88, 20.81, 20.66, 19.94, 19.22, 18.81, 18.59, 17.38, 16.31, 15.75, 15.16, 13.78, 12.0, 11.09, 10.31, 9.19, 8.03, 8.0, 8.53]",Which data points indicate a period of high volatility: <ts>,"[-0.525583, -0.202333, 0.265656, 0.567195, 0.815663, 1.148562, 1.372907, 1.336723, 1.163036, 0.98935, 0.890445, 0.837374, 0.545484, 0.287367, 0.152277, 0.009951, -0.322948, -0.75234, -0.97186, -1.160021, -1.4302, -1.710028, -1.717265, -1.589412]","{'mean': 15.11875, 'std': 4.1454, 'min': 8.0, 'max': 20.81, 'median': 15.985}","Based on the given data, the correct answer is: 19.88. The data points fluctuate significantly, showing high volatility around the 19.88 value."
Web,multiple_choice,multiple_choice,"""question"": ""What is the most common value in the data series [14.0, 12.0, 5.0, 14.0, 12.0, 14.0, 16.0, 8.0, 9.0, 11.0, 11.0, 5.0, 8.0, 8.0, 12.0, 14.0, 14.0, 13.0, 12.0, 3.0, 7.0, 12.0, 2.0, 9.0]? Options: A) 12.0 B) 14.0 C) 8.0"", ""answer"": ""B) 14.0. The value 14.0 appears 5 times, which is more frequent than 12.0 and 8.0, which each appear 4 times and 3 times respectively.""","[14.0, 12.0, 5.0, 14.0, 12.0, 14.0, 16.0, 8.0, 9.0, 11.0, 11.0, 5.0, 8.0, 8.0, 12.0, 14.0, 14.0, 13.0, 12.0, 3.0, 7.0, 12.0, 2.0, 9.0]",What is the most common value in the data series <ts>? Options: A) 12.0 B) 14.0 C) 8.0,"[1.019516, 0.481749, -1.400434, 1.019516, 0.481749, 1.019516, 1.557282, -0.593784, -0.324901, 0.212866, 0.212866, -1.400434, -0.593784, -0.593784, 0.481749, 1.019516, 1.019516, 0.750633, 0.481749, -1.9382, -0.862667, 0.481749, -2.207084, -0.324901]","{'mean': 10.208333, 'std': 3.719086, 'min': 2.0, 'max': 16.0, 'median': 11.5}","C) 8.0. The value 8.0 appears most frequently in the series, with three occurrences."
Nature,multiple_choice,multiple_choice,"""question"": ""Which segment of the time series is more volatile? a) [0.87, 0.97, 1.03, 1.04, -0.25, -1.25, -0.73, -0.7, -0.48, -0.12, -0.6, -0.6] b) [1.78, 1.5, 1.24, 1.11, 0.75, 0.87, 0.97, 1.03, 1.04, 0.59, 0.58, 0.53]"", ""answer"": ""a) [0.87, 0.97, 1.03, 1.04, -0.25, -1.25, -0.73, -0.7, -0.48, -0.12, -0.6, -0.6]. Segment a includes sharper transitions, for example, from 1.04 to -0.25, indicating greater volatility than in segment b, which has relatively more stable variations.""","[0.87, 0.97, 1.03, 1.04, -0.25, -1.25, -0.73, -0.7, -0.48, -0.12, -0.6, -0.6]","Which segment of the time series is more volatile? a) <ts> b) [1.78, 1.5, 1.24, 1.11, 0.75, 0.87, 0.97, 1.03, 1.04, 0.59, 0.58, 0.53]","[1.195146, 1.322515, 1.398936, 1.411673, -0.231387, -1.505077, -0.842758, -0.804548, -0.524336, -0.065807, -0.677179, -0.677179]","{'mean': -0.068333, 'std': 0.78512, 'min': -1.25, 'max': 1.04, 'median': -0.365}","b) [1.78, 1.5, 1.24, 1.11, 0.75, 0.87, 0.97, 1.03, 1.04, 0.59, 0.58, 0.53] is more volatile. The values fluctuate more significantly between 1.78 and 0.53, indicating greater volatility compared to the other series, which shows more consistent values."
Web,multiple_choice,multiple_choice,"""question"": ""What is the standard deviation of the following data points: [18.0, 32.0, 17.0, 10.0, 15.0, 16.0, 23.0, 13.0, 9.0, 16.0, 22.0, 23.0, 12.0, 38.0, 15.0]? A) 4.2 B) 7.5 C) 8.0 D) 6.5"", ""answer"": ""D) 6.5. To calculate standard deviation, first find the mean of the data, then calculate each point's difference from the mean, square it, and average the squared differences. Finally, take the square root of this average.""","[18.0, 32.0, 17.0, 10.0, 15.0, 16.0, 23.0, 13.0, 9.0, 16.0, 22.0, 23.0, 12.0, 38.0, 15.0]",What is the standard deviation of the following data points: <ts>? A) 4.2 B) 7.5 C) 8.0 D) 6.5,"[-0.077911, 1.740015, -0.207763, -1.116726, -0.467467, -0.337615, 0.571348, -0.727171, -1.246578, -0.337615, 0.441496, 0.571348, -0.857022, 2.519126, -0.467467]","{'mean': 18.6, 'std': 7.701082, 'min': 9.0, 'max': 38.0, 'median': 16.0}","C) 8.0. The standard deviation is calculated by finding the mean of the data points, then subtracting the mean from each data point to get deviations, squaring them, averaging them, and taking the square root. The result is approximately 8.0."
