application_domain,task_type,QA_list,time_series_raw,question_text,time_series_norm,statistical_features,model_response
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [9.06, 8.89, 9.18, 8.96, 8.86, 9.04, 9.3, 8.86, 9.02, 9.16, 9.34, 9.25, 9.52, 9.5, 9.2, 9.34]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""","[9.06, 8.89, 9.18, 8.96, 8.86, 9.04, 9.3, 8.86, 9.02, 9.16, 9.34, 9.25, 9.52, 9.5, 9.2, 9.34]","The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[-0.462111, -1.289046, 0.121608, -0.948543, -1.434975, -0.559397, 0.705327, -1.434975, -0.656684, 0.024322, 0.8999, 0.462111, 1.775478, 1.678191, 0.218895, 0.8999]","{'mean': 9.155, 'std': 0.205578, 'min': 8.86, 'max': 9.52, 'median': 9.17}","Based on the given information, this time series includes Normal Point."
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [3.48, 3.45, 3.08, 3.24, 3.4, 3.31, 3.16, 3.2, 3.18, 3.74, 3.34, 3.76, 3.48, 3.78, 3.5, 3.67]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""","[3.48, 3.45, 3.08, 3.24, 3.4, 3.31, 3.16, 3.2, 3.18, 3.74, 3.34, 3.76, 3.48, 3.78, 3.5, 3.67]","The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[0.260116, 0.122912, -1.56927, -0.837516, -0.105761, -0.517373, -1.203393, -1.020454, -1.111923, 1.449216, -0.380169, 1.540686, 0.260116, 1.632155, 0.351585, 1.129074]","{'mean': 3.423125, 'std': 0.218653, 'min': 3.08, 'max': 3.78, 'median': 3.425}","Based on the given information, this time series includes Normal Point."
AIOps,anomaly detection,"""question"": ""This data originates from monitoring systems and devices, and it is used to evaluate system performance or detect anomalies in time series. It also assesses the health and operational performance of devices or services. The dataset includes IOPS metrics recorded during the operation of storage systems or servers. Using this data, we can determine whether anomalies have occurred within the system. The input Time Serie is [152.16, 158.35, 166.39, 162.76, 169.75, 157.54, 172.04, 153.8, 168.62, 162.37, 167.52, 165.76, 169.09, 163.76, 162.44, 162.43]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Anomaly Point.""","[152.16, 158.35, 166.39, 162.76, 169.75, 157.54, 172.04, 153.8, 168.62, 162.37, 167.52, 165.76, 169.09, 163.76, 162.44, 162.43]","This data originates from monitoring systems and devices, and it is used to evaluate system performance or detect anomalies in time series. It also assesses the health and operational performance of devices or services. The dataset includes IOPS metrics recorded during the operation of storage systems or servers. Using this data, we can determine whether anomalies have occurred within the system. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[-2.039807, -0.91883, 0.537173, -0.120202, 1.145651, -1.065517, 1.560359, -1.742812, 0.941014, -0.190829, 0.74181, 0.423083, 1.026129, 0.060893, -0.178152, -0.179963]","{'mean': 163.42375, 'std': 5.521967, 'min': 152.16, 'max': 172.04, 'median': 163.26}","Based on the given information, this time series includes Anomaly Point."
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [6.68, 6.64, 6.73, 6.62, 6.19, 6.62, 6.62, 6.81, 6.59, 6.11, 6.27, 6.28, 6.86, 6.72, 6.74, 6.86]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""","[6.68, 6.64, 6.73, 6.62, 6.19, 6.62, 6.62, 6.81, 6.59, 6.11, 6.27, 6.28, 6.86, 6.72, 6.74, 6.86]","The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[0.416423, 0.243364, 0.632747, 0.156835, -1.703549, 0.156835, 0.156835, 0.978865, 0.02704, -2.049667, -1.357431, -1.314166, 1.195188, 0.589482, 0.676012, 1.195188]","{'mean': 6.58375, 'std': 0.231135, 'min': 6.11, 'max': 6.86, 'median': 6.63}","Based on the given information, this time series includes Normal Point."
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [0.12, -0.56, 0.44, 0.54, -0.26, 0.13, 0.34, -0.44, 0.0, 0.21, 0.14, 0.93, 1.08, 0.22, 0.14, 0.51]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Anomaly Point.""","[0.12, -0.56, 0.44, 0.54, -0.26, 0.13, 0.34, -0.44, 0.0, 0.21, 0.14, 0.93, 1.08, 0.22, 0.14, 0.51]","The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[-0.240037, -1.852138, 0.518599, 0.755672, -1.140917, -0.21633, 0.281525, -1.56765, -0.524526, -0.026671, -0.192622, 1.68026, 2.035871, -0.002963, -0.192622, 0.68455]","{'mean': 0.22125, 'std': 0.42181, 'min': -0.56, 'max': 1.08, 'median': 0.175}","Based on the given information, this time series includes Anomaly Point."
Healthcare,anomaly detection,"""question"": ""The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is [-0.04, -0.05, -0.03, -0.04, -0.04, -0.03, -0.01, 0.0, -0.01, -0.01, -0.01, -0.01, -0.02, -0.01, -0.01, -0.01, -0.01, 0.0, -0.02, 0.0, -0.01, -0.02, -0.01, -0.01, 0.0, 0.0, -0.01, -0.01, 0.0, -0.01, -0.01, -0.01, 0.0, -0.01, 0.0, -0.01, 0.0, -0.02, 0.0, 0.0, -0.02, 0.0, 0.0, 0.01, -0.02, 0.01, 0.0, -0.02, -0.02, -0.01, -0.01, -0.02, -0.03, -0.02, -0.03, -0.04, -0.03, -0.03, -0.02, -0.04, -0.04, -0.03, -0.03, -0.07]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""","[-0.04, -0.05, -0.03, -0.04, -0.04, -0.03, -0.01, 0.0, -0.01, -0.01, -0.01, -0.01, -0.02, -0.01, -0.01, -0.01, -0.01, 0.0, -0.02, 0.0, -0.01, -0.02, -0.01, -0.01, 0.0, 0.0, -0.01, -0.01, 0.0, -0.01, -0.01, -0.01, 0.0, -0.01, 0.0, -0.01, 0.0, -0.02, 0.0, 0.0, -0.02, 0.0, 0.0, 0.01, -0.02, 0.01, 0.0, -0.02, -0.02, -0.01, -0.01, -0.02, -0.03, -0.02, -0.03, -0.04, -0.03, -0.03, -0.02, -0.04, -0.04, -0.03, -0.03, -0.07]","The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[-1.584026, -2.238075, -0.929977, -1.584026, -1.584026, -0.929977, 0.378122, 1.032172, 0.378122, 0.378122, 0.378122, 0.378122, -0.275927, 0.378122, 0.378122, 0.378122, 0.378122, 1.032172, -0.275927, 1.032172, 0.378122, -0.275927, 0.378122, 0.378122, 1.032172, 1.032172, 0.378122, 0.378122, 1.032172, 0.378122, 0.378122, 0.378122, 1.032172, 0.378122, 1.032172, 0.378122, 1.032172, -0.275927, 1.032172, 1.032172, -0.275927, 1.032172, 1.032172, 1.686221, -0.275927, 1.686221, 1.032172, -0.275927, -0.275927, 0.378122, 0.378122, -0.275927, -0.929977, -0.275927, -0.929977, -1.584026, -0.929977, -0.929977, -0.275927, -1.584026, -1.584026, -0.929977, -0.929977, -3.546174]","{'mean': -0.015781, 'std': 0.015289, 'min': -0.07, 'max': 0.01, 'median': -0.01}","Based on the given information, this time series includes Anomaly Point."
AIOps,anomaly detection,"""question"": ""This data originates from monitoring systems and devices, and it is used to evaluate system performance or detect anomalies in time series. It also assesses the health and operational performance of devices or services. The dataset includes IOPS metrics recorded during the operation of storage systems or servers. Using this data, we can determine whether anomalies have occurred within the system. The input Time Serie is [35.43, 36.13, 35.78, 33.32, 33.02, 32.62, 32.55, 33.36, 33.45, 33.6, 32.53, 33.0, 34.99, 32.99, 34.1, 34.03]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""","[35.43, 36.13, 35.78, 33.32, 33.02, 32.62, 32.55, 33.36, 33.45, 33.6, 32.53, 33.0, 34.99, 32.99, 34.1, 34.03]","This data originates from monitoring systems and devices, and it is used to evaluate system performance or detect anomalies in time series. It also assesses the health and operational performance of devices or services. The dataset includes IOPS metrics recorded during the operation of storage systems or servers. Using this data, we can determine whether anomalies have occurred within the system. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[1.430208, 2.046772, 1.73849, -0.428292, -0.692533, -1.044856, -1.106512, -0.39306, -0.313787, -0.181666, -1.124128, -0.71015, 1.042654, -0.718958, 0.258737, 0.19708]","{'mean': 33.80625, 'std': 1.135324, 'min': 32.53, 'max': 36.13, 'median': 33.405}","Based on the given information, this time series includes Anomaly Point."
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [0.97, 0.82, 1.15, 1.29, 1.14, 1.06, 1.23, 1.22, 1.18, 1.08, 1.36, 1.17, 1.36, 1.36, 1.36, 1.36]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""","[0.97, 0.82, 1.15, 1.29, 1.14, 1.06, 1.23, 1.22, 1.18, 1.08, 1.36, 1.17, 1.36, 1.36, 1.36, 1.36]","The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[-1.464452, -2.443474, -0.289627, 0.624126, -0.354895, -0.87704, 0.232518, 0.167249, -0.093823, -0.746504, 1.081003, -0.159091, 1.081003, 1.081003, 1.081003, 1.081003]","{'mean': 1.194375, 'std': 0.153214, 'min': 0.82, 'max': 1.36, 'median': 1.2}","Based on the given information, this time series includes Normal Point."
AIOps,anomaly detection,"""question"": ""This data originates from monitoring systems and devices, and it is used to evaluate system performance or detect anomalies in time series. It also assesses the health and operational performance of devices or services. The dataset includes IOPS metrics recorded during the operation of storage systems or servers. Using this data, we can determine whether anomalies have occurred within the system. The input Time Serie is [12.6470584869, 12.6470584869, 14.882352829, 13.411765098599998, 13.1764707565, 14.0, 11.2941179276, 14.2941179276, 11.2941179276, 11.8235292435, 13.1764707565, 13.9411764145, 13.117647171, 11.2941179276, 11.117647171, 12.4705886841]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""","[12.6470584869, 12.6470584869, 14.882352829, 13.411765098599998, 13.1764707565, 14.0, 11.2941179276, 14.2941179276, 11.2941179276, 11.8235292435, 13.1764707565, 13.9411764145, 13.117647171, 11.2941179276, 11.117647171, 12.4705886841]","This data originates from monitoring systems and devices, and it is used to evaluate system performance or detect anomalies in time series. It also assesses the health and operational performance of devices or services. The dataset includes IOPS metrics recorded during the operation of storage systems or servers. Using this data, we can determine whether anomalies have occurred within the system. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[-0.122505, -0.122505, 1.837563, 0.548045, 0.341722, 1.063852, -1.30886, 1.321756, -1.30886, -0.844634, 0.341722, 1.012271, 0.290142, -1.30886, -1.463603, -0.277246]","{'mean': 12.786765, 'std': 1.140417, 'min': 11.117647, 'max': 14.882353, 'median': 12.882353}","Based on the given information, this time series includes Anomaly Point."
Healthcare,anomaly detection,"""question"": ""The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is [0.98, 1.21, 1.41, 1.63, 1.86, 2.15, 2.37, 2.67, 3.0, 3.28, 3.56, 3.82, 4.17, 4.35, 4.59, 4.72, 4.75, 4.8, 4.57, 4.38, 4.05, 3.8, 3.16, 2.77, 2.25, 1.61, 1.18, 0.79, 0.42, 0.21, 0.09, 0.03, -0.02, -0.03, -0.09, -0.05, -0.05, -0.11, -0.07, -0.08, -0.11, -0.11, -0.14, -0.13, -0.17, -0.16, -0.17, -0.18, -0.17, -0.21, -0.17, -0.17, -0.2, -0.12, -0.12, -0.27, -0.31, 0.325, 0.96, 1.595, 2.23, 1.59, 0.95, 0.31]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Anomaly Point.""","[0.98, 1.21, 1.41, 1.63, 1.86, 2.15, 2.37, 2.67, 3.0, 3.28, 3.56, 3.82, 4.17, 4.35, 4.59, 4.72, 4.75, 4.8, 4.57, 4.38, 4.05, 3.8, 3.16, 2.77, 2.25, 1.61, 1.18, 0.79, 0.42, 0.21, 0.09, 0.03, -0.02, -0.03, -0.09, -0.05, -0.05, -0.11, -0.07, -0.08, -0.11, -0.11, -0.14, -0.13, -0.17, -0.16, -0.17, -0.18, -0.17, -0.21, -0.17, -0.17, -0.2, -0.12, -0.12, -0.27, -0.31, 0.325, 0.96, 1.595, 2.23, 1.59, 0.95, 0.31]","The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[-0.241842, -0.107303, 0.009688, 0.138378, 0.272918, 0.442555, 0.571245, 0.746732, 0.939767, 1.103555, 1.267342, 1.41943, 1.624165, 1.729457, 1.869846, 1.94589, 1.963439, 1.992687, 1.858147, 1.747005, 1.55397, 1.407731, 1.03336, 0.805227, 0.501051, 0.126679, -0.124851, -0.352984, -0.569417, -0.692258, -0.762453, -0.79755, -0.826798, -0.832647, -0.867745, -0.844346, -0.844346, -0.879444, -0.856045, -0.861895, -0.879444, -0.879444, -0.896992, -0.891143, -0.914541, -0.908691, -0.914541, -0.920391, -0.914541, -0.937939, -0.914541, -0.914541, -0.93209, -0.885293, -0.885293, -0.973036, -0.996435, -0.624988, -0.253542, 0.117905, 0.489352, 0.11498, -0.259391, -0.633762]","{'mean': 1.393438, 'std': 1.709533, 'min': -0.31, 'max': 4.8, 'median': 0.87}","Based on the given information, this time series includes Anomaly Point."
Healthcare,anomaly detection,"""question"": ""The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is [-0.03, -0.03, -0.04, -0.03, -0.03, -0.03, -0.03, -0.06, -0.07, -0.08, -0.09, -0.12, -0.13, -0.16, -0.14, -0.14, -0.11, -0.08, -0.08, -0.06, -0.03, -0.04, -0.04, -0.03, -0.03, -0.02, -0.03, -0.04, -0.04, -0.02, -0.05, -0.05, -0.03, -0.05, -0.03, -0.05, -0.03, -0.05, -0.05, -0.03, -0.04, -0.04, -0.04, -0.05, -0.03, -0.06, -0.06, -0.04, -0.04, -0.04, -0.04, -0.06, -0.08, -0.08, -0.06, -0.06, -0.08, -0.08, -0.09, -0.06, -0.05, -0.02, -0.04, 0.01]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""","[-0.03, -0.03, -0.04, -0.03, -0.03, -0.03, -0.03, -0.06, -0.07, -0.08, -0.09, -0.12, -0.13, -0.16, -0.14, -0.14, -0.11, -0.08, -0.08, -0.06, -0.03, -0.04, -0.04, -0.03, -0.03, -0.02, -0.03, -0.04, -0.04, -0.02, -0.05, -0.05, -0.03, -0.05, -0.03, -0.05, -0.03, -0.05, -0.05, -0.03, -0.04, -0.04, -0.04, -0.05, -0.03, -0.06, -0.06, -0.04, -0.04, -0.04, -0.04, -0.06, -0.08, -0.08, -0.06, -0.06, -0.08, -0.08, -0.09, -0.06, -0.05, -0.02, -0.04, 0.01]","The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[0.773642, 0.773642, 0.462239, 0.773642, 0.773642, 0.773642, 0.773642, -0.160567, -0.471971, -0.783374, -1.094777, -2.028987, -2.34039, -3.2746, -2.651793, -2.651793, -1.717584, -0.783374, -0.783374, -0.160567, 0.773642, 0.462239, 0.462239, 0.773642, 0.773642, 1.085046, 0.773642, 0.462239, 0.462239, 1.085046, 0.150836, 0.150836, 0.773642, 0.150836, 0.773642, 0.150836, 0.773642, 0.150836, 0.150836, 0.773642, 0.462239, 0.462239, 0.462239, 0.150836, 0.773642, -0.160567, -0.160567, 0.462239, 0.462239, 0.462239, 0.462239, -0.160567, -0.783374, -0.783374, -0.160567, -0.160567, -0.783374, -0.783374, -1.094777, -0.160567, 0.150836, 1.085046, 0.462239, 2.019256]","{'mean': -0.054844, 'std': 0.032113, 'min': -0.16, 'max': 0.01, 'median': -0.045}","Based on the given information, this time series includes Anomaly Point."
AIOps,anomaly detection,"""question"": ""This data originates from monitoring systems and devices, and it is used to evaluate system performance or detect anomalies in time series. It also assesses the health and operational performance of devices or services. The dataset includes IOPS metrics recorded during the operation of storage systems or servers. Using this data, we can determine whether anomalies have occurred within the system. The input Time Serie is [33.1, 32.51, 33.37, 32.84, 34.52, 32.08, 31.14, 33.25, 30.84, 33.66, 33.41, 31.17, 32.4, 32.9, 30.12, 33.06]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""","[33.1, 32.51, 33.37, 32.84, 34.52, 32.08, 31.14, 33.25, 30.84, 33.66, 33.41, 31.17, 32.4, 32.9, 30.12, 33.06]","This data originates from monitoring systems and devices, and it is used to evaluate system performance or detect anomalies in time series. It also assesses the health and operational performance of devices or services. The dataset includes IOPS metrics recorded during the operation of storage systems or servers. Using this data, we can determine whether anomalies have occurred within the system. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[0.506695, -0.011528, 0.743847, 0.278325, 1.753943, -0.389216, -1.214859, 0.638446, -1.478363, 0.998567, 0.778981, -1.188509, -0.108146, 0.331026, -2.11077, 0.471561]","{'mean': 32.523125, 'std': 1.138506, 'min': 30.12, 'max': 34.52, 'median': 32.87}","Based on the given information, this time series includes Anomaly Point."
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [-0.58, -0.65, -0.48, -0.41, -0.29, -0.3, -0.3, -0.49, -0.64, -0.52, -0.24, -0.09, -0.02, -0.12, -0.13, -0.16]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""","[-0.58, -0.65, -0.48, -0.41, -0.29, -0.3, -0.3, -0.49, -0.64, -0.52, -0.24, -0.09, -0.02, -0.12, -0.13, -0.16]","The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[-1.217163, -1.57033, -0.71264, -0.359473, 0.245955, 0.195503, 0.195503, -0.763092, -1.519877, -0.914449, 0.498217, 1.255002, 1.608169, 1.103645, 1.053193, 0.901836]","{'mean': -0.33875, 'std': 0.198207, 'min': -0.65, 'max': -0.02, 'median': -0.3}","Based on the given information, this time series includes Anomaly Point."
AIOps,anomaly detection,"""question"": ""This data originates from monitoring systems and devices, and it is used to evaluate system performance or detect anomalies in time series. It also assesses the health and operational performance of devices or services. The dataset includes IOPS metrics recorded during the operation of storage systems or servers. Using this data, we can determine whether anomalies have occurred within the system. The input Time Serie is [0.166666671634, 0.25, 0.25, 0.5, 0.222222223878, 0.25, 0.40000000596, 0.25, 0.20000000298, 0.368421047926, 0.40000000596, 0.15000000596, 0.300000011921, 0.25, 0.40000000596, 0.34999999404]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Anomaly Point.""","[0.166666671634, 0.25, 0.25, 0.5, 0.222222223878, 0.25, 0.40000000596, 0.25, 0.20000000298, 0.368421047926, 0.40000000596, 0.15000000596, 0.300000011921, 0.25, 0.40000000596, 0.34999999404]","This data originates from monitoring systems and devices, and it is used to evaluate system performance or detect anomalies in time series. It also assesses the health and operational performance of devices or services. The dataset includes IOPS metrics recorded during the operation of storage systems or servers. Using this data, we can determine whether anomalies have occurred within the system. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[-1.337574, -0.463618, -0.463618, 2.15825, -0.754937, -0.463618, 1.109503, -0.463618, -0.987992, 0.778319, 1.109503, -1.512366, 0.060755, -0.463618, 1.109503, 0.585129]","{'mean': 0.294207, 'std': 0.095352, 'min': 0.15, 'max': 0.5, 'median': 0.25}","Based on the given information, this time series includes Anomaly Point."
The Web,anomaly detection,"""question"": ""This dataset includes data from Yahoo's servers and various service metrics, allowing us to assess the operational status of the related equipment based on the information provided. The input Time Serie is [1545.02785758984, 1436.85995875939, 1260.45755862456, 842.5373238718919, 915.6788178577672, 949.180862059433, 1080.7239463468902, 981.805087036794]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""","[1545.02785758984, 1436.85995875939, 1260.45755862456, 842.5373238718919, 915.6788178577672, 949.180862059433, 1080.7239463468902, 981.805087036794]","This dataset includes data from Yahoo's servers and various service metrics, allowing us to assess the operational status of the related equipment based on the information provided. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[1.728436, 1.281688, 0.553123, -1.172944, -0.87086, -0.732492, -0.189201, -0.597749]","{'mean': 1126.533927, 'std': 242.122904, 'min': 842.537324, 'max': 1545.027858, 'median': 1031.264517}","Based on the given information, this time series includes an anomaly point."
The Web,anomaly detection,"""question"": ""This dataset includes data from Yahoo's servers and various service metrics, allowing us to assess the operational status of the related equipment based on the information provided. The input Time Serie is [1119.22410349345, -706.299676814153, -2153.82415361233, -521.113173118376, -887.823296080018, -1149.62132678715, -1712.05884846518, -1904.34960545387]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Anomaly Point.""","[1119.22410349345, -706.299676814153, -2153.82415361233, -521.113173118376, -887.823296080018, -1149.62132678715, -1712.05884846518, -1904.34960545387]","This dataset includes data from Yahoo's servers and various service metrics, allowing us to assess the operational status of the related equipment based on the information provided. The input Time Serie is <ts>. Please determine whether there are anomalies in this time series given information above.","[2.178303, 0.29253, -1.202769, 0.483828, 0.105015, -0.165423, -0.746423, -0.945061]","{'mean': -989.483247, 'std': 968.050541, 'min': -2153.824154, 'max': 1119.224103, 'median': -1018.722311}","Based on the given information, this time series includes Anomaly Point."
